Acanthogobius flavimanus,Acanthopsoides gracilentus,Acanthopagrus sivicolus,Acheilognathus cf macropterus,Amblychaeturichthys hexanema,Amblychaeturichthys sciistius,Arctoscopus japonicus,Bos taurus,Branchiostegus japonicus,Carassioides acuminatus,Carassius auratus langsdorfii,Carassius auratus subsp Ishigaki Is,Carassius cuvieri,Chaenogobius gulosus,Chelidonichthys spinosus,Chelon haematocheilus,Coilia grayii,Cypselurus hiraii,Dictyosoma burgeri,Ditrema temminckii pacificum,Elopichthys bambusa,Engraulis japonicus,Epinephelus akaara,Ernogrammus hexagrammus,Favonigobius gymnauchen,Gadus macrocephalus,Girella punctata,Gnathopogon elongatus elongatus,Gymnogobius opperiens,Gymnogobius petschiliensis,Gymnogobius scrobiculatus,Hemibarbus barbus,Hexagrammos lagocephalus,Hippoglossoides elassodon,Homo sapiens,Hyporhamphus sajori,Konosirus punctatus,Labeo coubie,Labeo senegalensis,Lagocephalus spadiceus,Lateolabrax japonicus,Lepidotrigla microptera,Leucopsarion petersii,Lycodes sigmatoides,Macrochirichthys macrochirus,Metzia lineata,Micropterus salmoides,Misgurnus anguillicaudatus,Mugil cephalus,Nipponocypris temminckii,Nuchequula nuchalis,Odontamblyopus rubicundus,Omobranchus elegans,Omobranchus punctatus,Opisthoproctus sp ZMUB 18977,Oplegnathus fasciatus,Osteochilus salsburyi,Pagrus major,Parablennius yatabei,Paralichthys olivaceus,Petroscirtes breviceps,Pleuronectes yokohamae,Plotosus japonicus,Pseudolabrus sieboldi,Pungtungia herzi,Rhinogobius brunneus,Rhinogobius flumineus,Rhynchocypris oxycephalus jouyi,Rhynchopelates oxyrhynchus,Rudarius ercodes,Sardinops sagax,Saurida wanieso,Saurogobio immaculatus,Scomber japonicus,Scomberomorus niphonius,Sebastes aleutianus,Sebastes nigrocinctus,Sebastiscus marmoratus,Seriola lalandi,Seriola quinqueradiata,Siganus canaliculatus,Sillago japonica,Sphyraena pinguis,Squaliobarbus curriculus,Stephanolepis cirrhifer,Takifugu niphobles,Takifugu pardadalis,Takifugu porphyreus,Takifugu rubripes,Thamnaconus modestus,Trachemys scripta,Trachurus japonicus,Trachurus symmetricus,Tribolodon hakonensis,Tridentiger obscurus,Tridentiger trigonocephalus,Xenocypris macrolepis,Zacco platypus,Zoarchias veneficus
0,564,195,0,0,0,0,0,0,5360,0,0,17,0,0,0,0,0,57,0,6469,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,23063,0,158,0,0,0,0,0,0,0,0,0,0,18,66,0,0,0,0,0,0,0,0,0,94,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,921,136,0,0,0,0,0,0,4806,0,0,0,0,0,0,0,0,371,0,4770,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,43,2473,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21374,117,0,0,0,0,0,0,0,0,0,0,0,164,33,0,46,0,0,51,0,0,0,0,0,0,17
99,527,98,0,11,0,0,33,0,8230,25,20,0,125,0,0,0,0,155,0,6949,48,0,0,0,0,0,26,0,0,23,0,0,0,0,0,0,2041,0,0,0,0,79,0,100,0,0,33,12,42,0,0,0,0,0,0,34,23,70,0,0,0,0,0,0,0,123,44,0,0,71,0,29859,0,0,0,0,0,0,0,0,0,0,0,0,731,0,0,0,0,0,0,0,0,63,0,0,57,0
0,950,358,0,0,0,0,0,0,5302,0,0,0,38,0,0,42,0,264,0,6213,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,2078,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,23460,50,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,965,130,0,0,0,0,0,0,6373,0,41,0,0,0,0,0,0,0,0,6175,108,0,0,0,0,0,239,20,0,0,0,0,0,0,0,453,2442,49,0,117,44,337,0,29,0,0,23,0,86,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,228,87,37,0,0,0,0,27386,0,42,0,0,0,0,0,0,0,105,0,15,56,0,0,0,0,22,60,0,41,59,0,0,82,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,881,214,15,0,0,0,0,0,6936,0,0,0,0,0,0,0,0,67,0,5570,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,2706,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,23827,0,0,95,0,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,13,0,0,0,0,0
0,196,185,0,32,0,0,0,0,3511,0,0,0,0,0,0,12,0,46,0,3005,44,0,10,0,0,16,0,0,0,0,0,0,0,0,0,0,1551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,14709,0,0,0,0,0,0,0,0,11,0,0,0,208,78,0,0,0,0,32,0,0,0,0,0,0,0
0,347,0,0,0,0,0,0,0,2760,0,0,0,50,0,0,0,0,0,0,1889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,733,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10204,0,20,0,0,0,0,0,0,0,0,0,0,425,36,0,0,0,0,0,0,0,0,0,0,0,35
