MiFish SYBR,Engraulis japonicus,Trachurus japonicus
128,1.634996712,1.077368895
158,0.649690191,4.034440994
362,1.497557084,0.782826744
268,1.411198934,1.288338939
617,4.787020127,2.019294222
183,1.099034647,2.067714373
183,0.828577653,3.667144497
260,0.779502908,0.815248648
246,9.408092181,1.763944149
102,1.434979081,0.127001534
0,0.354188919,0.008420922
1,0.159711724,0.001352689
0,0,0
8,0.130498681,0.022652985
5,0.043533146,0.003314594
50,0,0
131,0,0.000251861
69,2.406624635,0.37627778
659,3.303336501,0
242,4.041898807,0.401333451
7806,44.52062861,68.4127744
119,0.489225427,0.399638057
114,0,2.488488595
114,0,0.044604865
22,0.385026773,0.123800983
1,0.0676437,0
242,3.002579729,2.344666759
894,5.287647247,0.950044851
197,22.04878934,15.5222702
173,1.465694626,3.364105463
1415,0.393530409,7.57728831
22,4.000350952,1.721040169
1731,125.4480311,2.463582178
5048,468.2247111,5.881440481
1031,50.61789195,4.72462217
1278,69.81279246,3.368195852
610,55.21480306,2.114165862
788,73.77766673,0.723989402
565,4.491653283,0.740566075
333,10.207551,0
383,4.371456583,1.430769742
732,16.71204154,6.215087414
743,7.565083981,0.360228737
1074,6.648386796,9.740060329
1244,2.139007787,3.862304052
390,2.592948357,0.457795819
1313,11.53687191,106.9509735
232,3.658296943,0
2,0.57252168,0.000110175
499,3.192550023,1.684268912
2316,1.91E-05,2.919987122
431,1.110408584,0
